kode_rs,nama_rs,alamat_rs,telepon_rs
1771040,RS Tk. IV Bengkulu,Jl. Zainul Arifin RT 05/01 Kel. Padang Nangka Kecamatan Singaran Pati Bengkulu,0736-21048
1771051, RS Bhayangkara Jitra Kota Bengkulu,Jl. Veteran No.2 Kelurahan Jitra Kota Bengkulu,0736-341086
1801015,RS Umum Daerah Alimuddin Umar,"Jl. Teuku Umar No. 3, Lampung Barat",0728 21651
1802016, RS Panti Secanti,"Jl. Raya Gisting,Tanggamus",0729-347553
1802027,RS Umum Daerah Batin Mangunang,"Jl. Soekarno Hatta Komplek Islamic Centre Kotaagung,Kab.Tanggamus",(0722)7220083
1802038,RS Umum Mitra Husada,"Jl. Jend.A.Yani No.14 Pringsewu,Kab.Pringsewu",0729-23792
1803010,RS Umum Daerah Pringsewu,Jl. Lintas Barat Pekon Fajar Agung Barat Kec. Pringsewu,0729 - 23582
1803021,RS Umum Daerah Dr. H. Bob Bazar SKM,"Jl. Lettu Rohani 14 B,Kalianda",0727-322160
1804011, RS Umum Daerah Sukadana,"Jl. Letnan Adnan Sanjaya,Lintas Timur,Sukadana,Lamp.Timur",(0725) 625022/6
1805012,RS Umum Mitra Mulia Husada,"Jl. Proklamator Raya No.162-164,Lampung Tengah",0725-528801
1805023,RS Umum Yukum Medical Centre,Jl. Negara No.99 Km.67 Yukum Jaya Lampung Tengah,(0725) 25333
1806013,RS Umum Daerah May Jen HM Ryacudu,Jl. Jend.Sudirman No.2 Kotabumi,0724 22095
1805024,RS Umum Islam Asy-Syifaa Bandar Jaya,Jl. Lintas Sumatera KM 65 Yukum Jaya Terbanggi Besar Bandar Jaya,0725-25264
1806035,RS Umum Handayani,"Jl. Soekarno - Hatta No.94,Kotabumi lampung Utara",0724-328399
1807014,RS Umum Daerah Zainal Abidin Pagar Alam,"Jl. Raya Lintas Sumatera, Blambangan Umpu",081367337418
1808015,RS Umum Daerah Menggala Tulang Bawang,"Menggala,Kab.Tulang Bawang",0726.21131
1801017,RS Umum Daerah Dr H Abdul Moeloek,"Jl. Dr. Rivai 6,Penengahan B.Lampung",0721 - 703312
1871026, RS Tk IV 02.07.04,,
1871176,RS Jiwa Bandar Lampung,Jl. Raya Gd.Tataan KM 13 Bandar Lampung,0721-271170
1871180,RS Umum Imanuel Way Halim,"Jl. Sukarno Hatta Way Halim,Bandar Lampung",704900
1871223,RS Khusus Mata Permana Sari,"Jl. HOS Cokroaminoto,B Lampung",261432
1871234, RS Umum Bumi Waras,"Jl. W. Monginsidi No.235,Bandar Lampung",0721254589
1871282, RS Umum Advent Bandar Lampung,"Jl. Teuku Umar 48,Bandar Lampung",0721703459
1871405,RS Umum Urip Sumoharjo,"Jl. Urip Sumoharjo No.200,Bandar Lampung",771321
1871416, RS Umum Graha Husada,"Jl. Gajah Mada No.88,Bandar Lampung",240000
1871427,RS Umum Pertamina-Bintang Amin Lampung,"Jl. Pramuka No.27,Bandar Lampung",273601
1871438,RS Bhayangkara Polda Lampung,Jl. Pramuka No.88 Rajabasa Bandar Lampung,706402
1872016, RS Umum Daerah Ahmad Yani Metro,Jl.Jend. A.Yani No.13 Kota Metro,0725-48423
1871020,RS Umum  Mardi Waluyo,"Jl. Jenderal Sudirman 156,Kota Metro, Lampung",0725-42512
1901016,RS Umum Daerah Depati Bahrin,"Jl. Jend Sudirman No.195, Kel.Parit Padang Kec.Sungailiat Propinsi Kepulauan Bangka Belitung",(0717)92489
1901020, RS  Jiwa Sungai Liat,Jl. Jend Sudirman No. 345 Kel. Parit Padang Kec. Sungai Liat,(0717)92068
1901031,RS Umum Medika Stannia,"Jl. Jend. Sudirman No.03, Kel.Sungailiat Kec.Sungailiat",0717-95837
1902010, RS Umum Daerah dr. H. Marsidi Judono,"Jl. Jend. Sudirman Km 5,5 Desa Aik Rayak Tanjungpandan",(0719) 21071
1904013, RS Umum Daerah Kab.Bangka Tengah,"Jl. By Pass No 01 Kec.Koba,Kab. Bangka Tengah",0718-7362046
1903013, RS Umum Daerah Sejiran Setason,"Jl. Kadur Dalam, Ds Belo Laut Kecamatan Muntok",0716-21111
1905024, RS Umum Daerah Kab. Bangka Selatan,Jl. Raya Gadung Desa Gadung Kec. Toboali,0718-4220935
1906014, RS Umum Daerah  Kab.Belitung Timur,Jl. Raya Manggar Gantung Desa Padang Kecamatan Manggar,0719 91738
1971021, RS Umum Daerah Depati Hamzah,"Jl. Soekarno Hatta,Kota PangkalPinang",0717-422693
1971043,RS Bakti Timah Pangkalpinang,"Jl. Bukit Baru No.1, Kel.Taman Bunga Kec.Gerunggang Pangkal Pinang",0717-421091
2002010,RS Umum Daerah Tanjung Uban,"Jl. Indun Suri-Simpang Busung No.1, Tanjung Uban Kepulauan Riau",0771-482655
2003011, RS Umum Daerah Natuna,"Jl. H.Ali Murtopo,Natuna",0773-31128
2072012, RS Umum Daerah Kota Tanjung Pinang,"Jl. Sudirman 795,Tanjungpinang",0771-21733
2072023,RS Umum AL Dr Midiyato S,"Jl. Ciptadi No.1,Tanjung Pinang",0771-21428
2001045,RS Umum Bhakti Timah,"Jl. Canggai Putri, Kel. Teluk Uma, Kec. Tebing",0777-7367085
2003056,RSAU dr. Yuniati Wisma Karyani,Natuna Kab.Kepulauan Riau,
2001013,RS Umum Daerah Muhammad Sani Kabupaten Karimun,Jl. Soekarno - Hatta No. 1 Tanjung Balai Karimun,0777-327808
2071015,RS Umum Santa Elisabeth Batam,Jl. Anggrek Blok II Lubuk Baja,0778-457357
2071037,RS Umum Charis Medika,Jl. R.Suprapto Blok D 1-9,"3582600,3582502"
2071012,RS Umum Budi Kemuliaan Batam,"Jl. Budi Kemuliaan No.1,Batam",0778-454044
2071023,RS Umum Harapan Bunda Batam,Jl. Seraya No. 1 Batam,0778 - 457333
2071034,RS Badan Pengusahaan Batam,"Jl. Dr. Cipto Mangunkusumo No.1,  Sekupang,Batam",0778-322121
2071056,RS Umum Camatha Sahidya,"Jl. Jend. A. Yani No.8,Batam",0778-371002
2071103,RS Umum Awal Bros Batam,Jl. Gajah Mada Kav.I Baloi,0778-431777
2003125,RS Umum Daerah Palmatak,"Desa Payalaman, Kecamatan Palmatak, Kabupaten Kepulauan Anambas",077231381
2004136,RS Umum Daerah Encik Mariyam,Jl. Masjid Sultan Lingga No. 46 Kp. Darat Daik Kabupaten Lingga,081372771583
3171012,RSUP Fatmawati,"Jl. RS Fatmawati Cilandak,Jaksel",021-7501524
3171023,RS Umum Pusat Pertamina,"Jl. Kyai Maja No.43 Kebayoran Baru,Jakarta Selatan",7200290
3171034,RS Umum AL Cilandak,"Jl. Raya Cilandak, KKO Jaksel",021-7805296
3171045,RS Umum Jakarta,"Jl. Jend.Sudirman Kav.49,Jaksel",5732241
3171060,RS Jiwa Dharmawangsa,"Jl. Darmawangsa Raya Blok P/ II No.13, Jakarta Selatan",7394484
3171216,RS Khusus Ibu dan Anak Panti Nugraha,"Jl. Senayan 26 Kby.Baru,Jaksel",7221171
3171286,RS Ibu dan Anak Budhi Jaya,"Jl. Dr. Sahardjo 120, Jaksel",021-8312378
3171413,RS Ibu dan Anak Asih,Jl. Panglima Polim I/34 Melawai - Kebayorann Baru,2700610
3171435,RS Ketergantungan Obat,"Jalan Lapangan Tembak No 75 
Kelurahan Cibubur 
Kecamatan  Ciracas 
Jakarta Timur 13720",021-87711968
3171450,RS Umum Setia Mitra,"Jl. Fatmawati No. 80-82,Jaksel",7656000
3171461,RS Umum Tebet,Jl Let.Jen.MT Haryono kav 13 Jakarta Selatan,(021) 830 7544
3171504,RS Umum Pondok Indah,"Jl. Metro Duta Kav. UE Pondok  Indah,Jaksel",021-7657525
3171515,RS Umum MMC,"Jl. H R. Rasuna Said No.21,Jaksel",021-5203435
3171552,RS Khusus Bedah THT Yayasan Yurino,"Jl. Ciranjang No.20-22,Jaksel",021-7243366
3171574,RS Umum Prikasih,"Jl. RS Fatmawati Raya No. 74, Pd. Labu-Cilandak",7504669
3171621,RSU Gandaria,"Jl. Gandaria Tengah 11 Kby Baru,Jaksel","7203311,7250718"
3171632,RS Umum Agung,"Jl. Sultan Agung No.67,Jaksel",021-8294955
3171643,RS Umum Siaga Raya,"Jl. Siaga Raya Kav.4-8, Pejaten Barat pAsar minggu Jaksel",021-7972750
3171665,RS Umum Medistra,"Jl. Gatot Subroto Kav  59,",021-5210200
3171680,RS Umum Tria Dipa,"Jl. Raya Pasar Minggu No.3A,Jaksel",021-7993058
3171691,RS Gigi dan Mulut Univ.Prof.Moestopo,"Jl. Bintaro Permai Raya,Jaksel",
3171702,RS Umum Zahirah,"Jl. Sirsak No.21 RT/RW 009/001,Jagakarsa,Jaksel",7872210
3171713,RS Umum Kartini,"Jl. Ciledug Raya No.94-96 Cipulir, Keabayoran Lama",7245646
3171724,RS Ibu dan Anak Brawijaya Women and Children Hospi,"Jl..Taman Brawijaya No.1,Cepete Utara,Jaksel",021-7211337
3171735,RS Umum Jakarta Medical Center (JMC),"Jl. Buncit Raya No.15, Kalibata, Pancoran",021-7980888
3171746, RS Umum Aulia,"Jl. Jeruk Raya No.15 RT.011 RW 01,Jagakarsa Jaksel",021-7270208
3171757,RS Ibu dan Anak Brawijaya Durentiga,Jl. Duren Tiga Raya No.5 Pancoran Jaksel,021-7976605
3171768,RS Umum Murni Teguh Sudirman Jakarta,Jl. Jend.Sudirman No.86,021-57853911
3171781,RS Muhammadiyah Taman Puring,Jl. Gandaria I/20 Kebayoran Baru Jaksel,0217208358
3172013,RSUP Persahabatan,"Jl. Persahabatan Raya No. 1,Jaktim",021-4891708
3172024,RS Umum Daerah Budhi Asih,"Jl. Dewi Sartika, Cawang III/ 200,Jakarta Timur",021-8090282
3172035,RS Umum Pengayom Cipinang,"Jl. Raya Bekasi Timur 170 B, Jaktim",021-85914558
3172050,RS Pusdikkes,"Jl. Raya Bogor, Jakarta Timur",021-8092358
3172061,RS Pusat AU dr. Esnawan Antariksa,"Jl. Merpati No. 2 Halim Perdana Kusuma, Jakarta",021 80881911
3172072,RS Umum Bhayangkara Tk. I R.Said Sukanto,"Jl. Raya Bogor Kramat Jati,Jakarta Timur",021 8093288
3172083,RS Tk IV Cijantung,"Jl. Mahoni  No 1 Cijantung II Rt 005/004  Pasar Rebo,Jaktim",021 8400535
3172094,RS Umum FK UKI,"Jl. May.Jen Soetoyo Cawang,Jakarta Timur",021-8092317
3172126,RS Umum Daerah Pasar Rebo,"Jl. TB Simatupang No.30,Jaktim",021-8401127
3172206,RS Umum Premier Jatinegara,"Jl. Jatinegara Timur No.85A-87,Jaktim",021-2800888
3172243,RS Umum Hermina Jatinegara,"Jl. Jatinegara Barat 126,Jaktim",021 8191223
3172301,RS Khusus Bedah Rawamangun,"Jl. Balai Pustaka Raya No. 29 - 31, Rawamangun",021 - 4893531
3172495,RS Umum Omni Medical Center,Jl. Pulomas Barat VI No. 20.,021-29779999
3172505,RS Islam Jakarta Pondok Kopi,Jl. Raya Pondok Kopi Jakarta Timur,021-8610471
3172516,RS Umum Kartika Pulo Mas,Jl. Pulo Mas Timur K No 2 Jakarta Timur,021 4703333
3172520,RS Umum Harum,"Jl. Tarum Barat, Kalimalang",8617212
3172531,RS Umum Harapan Jayakarta,"Jl. Bekasi Timur Raya No.6 Km.18, Kel. Jatinegara, Kec. Cakung, Jaktim",021-4608886
3172553,RS Umum Harapan Bunda,Jl. Raya Bogor Km.22 No.44 Jaktim,8400257
3172590,RS Umum Yadika,Jl. P.Revolusi No.47 Pondok Bambu Jaktim,021-8615754
3172702,RS Umum Dharma Nugraha,Jl. Balai Pustaka Baru 19 Rawamangun,021 4707433
3172713,RS Umum Mediros,Jl. Perintis Kemerdekaan  Kav.149 Jakarta Timur,(021) 4721336
3172724,RS Umum Haji Jakarta,Jl. Raya Pondok Gede Jaktim,021-8000693
3172735,RS Jiwa Islam Klender,Jl. Bunga Rampai X P.Klender Jaktim,021-8622491
3172746,RS Jiwa Duren Sawit,Jl. Duren Sawit Baru Jakarta Timur,021-8628686
3173014,RSUPN Dr. Cipto Mangunkusumo,Jl. Diponegoro 71 Jakarta Pusat,021-1500135
3173025,RS Umum PAD Gatot Soebroto,Jl. Dr. Abdul  Rahman Saleh No. 24  Jakarta Pusat,021 3441008
3173036,RS Umum AL Dr Mintoharjo,Jl. Bendungan Hilir 17 Jakpus,021-5703081
3173040,RS Umum Husada,Jl. Raya Mangga Besar No.137/139 Jakpus,6260108
3173051,RS Umum Sint Carolus,Jl. Salemba Raya No.41 Jakarta Pusat,021-3904441
3173062,RS PGI Cikini,Jl. Raden Saleh No. 40 Jakpus,021-38997777
3173073,RS Umum Islam Jakarta Cempaka Putih,Jl. Cempaka Putih Tengah I Jakarta Pusat,021-4250451
3173084,RS Tk II M.Ridwan Meuraksa,Jl. Taman Mini I RT 004 / RW 02 Kel. Pinangranti Kec. Makasar,021 22819613
3173105,RS Umum Budi Kemuliaan,Jl. Budi Kemuliaan No.25 Jakarta Pusat,021-3842828
3173116,RS Umum YPK Mandiri,Jl. Gereja Theresia No.22 Menteng Jakpus,3909725
3173120,RS Khusus Ibu Anak Bunda Jakarta,Jl. Teuku Cik Ditiro No. 28 Menteng,021-31922005
3173441,RS Umum Evasari,Jl. Rawamangun No. 47 Jakpus,021-4201515
3173474,RS Umum Pertamina Jaya,Jl. A. Yani No. 2 By Pass Jakarta Pusat,021 4211911
3173506,RS Umum dr. Abdul Radjak,Jl. Salemba Tengah 24-28 Jakpus,021 3904422
3173521,RS Umum Daerah Tarakan,Jl. Kyai Caringin Jakarta Pusat,021-3503150
3173532,RS Khusus THT Bedah KL Proklamasi,"Jl. Proklamasi No. 43, Menteng - Jakarta Pusat",021-3900002
3173543,RS Umum Abdi Waluyo,Jl. Hos Cokroaminoto 31-33 Jakarta Pusat,021 3144989
3173580,RS Umum Kramat 128,"Jl. Kramat Raya No.128,Jakpus",021-3909513
3173612,RS Khusus THT Prof Nizar,Jl. Kesehatan No. 9 Jakpus,3843596
3173623,RS Khusus Mata Jakarta Eye Center,Jl. Teuku Cik Ditiro 46 Jakpus,021-29221000
3173634,RS Khusus Bedah Bina Estetika,Jl. Teuku Cik Ditiro 41 Jakarta Pusat,021-3909393
3173645,RS Umum Menteng Mitra Afia,Jl. Kalipasir No.9 Jakarta Pusat,3154050
3173656,RS Umum Mitra Kemayoran,Jl. Landas Pacu Timur Kemayoran,021-6545555
3173671,RS Gigi dan Mulut FKG Univ.Indonesia,Jl. Salemba Raya No. 4 Jakpus,3923145
3173695,RS Ibu dan Anak Tambak,"Jl. Tambak No.18 Manggarai, Jakpus",021 2303444
3174015,RS Umum Sumber Waras,Jl. Kiyai Tapa No.1 Grogol Jakbar,021-5682011
3174026,RS Umum Pelni Petamburan,Jl. K. S. Tubun 92-94 Jakbar,5480608
3174030,RS Umum Bhakti Mulia,Jl. KS Tubun No.79 Slipi Jakbar,54812625
3174041,RS Jiwa Dr. Soeharto Heerjan,Jl. Prof.Dr.Latumeten No. 1 Jakarta Barat,021-5682841
3174063,RS Kanker Dharmais,Jl. S Parman Kav.84-86 Slipi Jakarta Barat,021-5681570
3174260,RS Anak dan Bunda Harapan Kita,Jl. Let.Jend. S Parman Kav. 87 Slipi Jakbar,021-5668284
3174282,RS Jantung dan Pembuluh Darah Harapan Kita,"Jl. S. Parman Kav 87, Slipi",021-5684086
3174351,RS Umum Siloam Hospitals Kebon Jeruk,Jl. Perjuangan Raya Kav.8 Jakarta Barat,021-25677888
3174416,RS Umum Patria IKKT,Jl. Cendrawasih No.1 Komplek Kemhan Mabes TNI Slipi,021-5308981
3174420,RS Umum Medika Permata Hijau,Jl. Kebayoran Lama  No.64 Jakarta Barat,021-5347411
3174431,RS Umum Hermina Daan Mogot,"Jl. Kintamani Raya No. 2, Komp. Perumahan Daan Mogot Baru",021-5408989
3174453,RS Umum Cinta Kasih Tzu Chi,"Jl. Lingkar Luar Kamal Raya (Outer Ring Road),Perumahan Cinta Kasih Tzu Chi, Cengkareng Timur",021-5596 3680
3174486,RS Umum  Royal Taruma,"Jl. Daan Mogot No.34,Jakarta Barat",56958338
3174497,RS Umum Bina Sehat Mandiri,Jl. Duri Raya No. 22 Duri Kepa Jakbar,5658870
3174508,RS Umum Puri Indah ,"Jl. Puri Indah Raya,Blok S-2,Kel.Kembangan Selatan,Jakbar",021-25695222
3175016,RS Umum Daerah Koja,"Jl. Deli No.4 Tanjung Priok,Jakut",021-43938478
3175031,RS Umum Akademik Atma Jaya,Jl. Pluit Raya Jakarta Utara,6691909
3175042,RS Umum  Pelabuhan Tg.Priok,Jl. Kramat Jaya Tg Priok Jakut,021-4403026
3175064,RS Penyakit Infeksi Prof. Dr. Sulianti Saroso,Jl. Baru Sunter Permai Raya Jakarta Utara,(021) 6506559
3175181,RS Umum Sukmul,Jl. Tawes No.18-20 Jakarta Utara,021-4301269
3175304,RS Umum Hermina Podomoro,Jl. Danau Agung 2 Sunter Jakarta Utara,021-6404910
3175315,RS Umum  Satya Negara,Jl. Agung Utara Raya No. 1 Jakut,021 64715200
3175326,RS Umum Islam Jakarta Utara,Jl. Tipar Cakung No.5 Jakut,021-4400778
3175330,RS Umum Royal Progress,"Jl. Danau Sunter Utara, Sunter Paradise I",021-6400261
3175341,RS Umum Pluit,Jl. Raya Pluit Selatan 2 Jakut,6685070
3175352,RS Umum Pantai Indah Kapuk,Jl. Pantai Indah Utara 3 Jakut,021-5880911
3175363,RS Ibu dan Anak Family,Jl. Pluit Mas I Blok A Jakut,6695066
3175374,RS Umum Puri Medika,Jl. Sungai Bambu 5A Tanjung Priok,43903355
3175385,RS Umum Mitra Keluarga Kelapa Gading,Jl. Bukit Gading Raya Kav.2,021-45852700
3175396,RS Umum Port Medical Center,"Jl. Enggano No. 10 Tanjung Priok, Jakarta Utara",021 43902350
3175407,RS Umum Gading Pluit,"Jl. Boulevard Timur Raya Pegangsaan Dua,Kelapa Gading",021-4521001
3201013,RS Umum Harapan Depok,Jl. Pemuda No.10 Depok,021-7520009
3201024,RS Paru Dr. M. Goenawan Partowidigdo,"Jl. Raya Puncak KM.83, Po Box 28 Cisarua Bogor 16750",0251-8253630
3201035,RS Umum Bhakti Yudha,Jl. Raya Sawangan No. 2A Depok,021-7520082
3201046,RS Umum Daerah Cibinong,JL. KSR Dadi Kusmayadi No. 27 Cibinong Bogor,021-8753487
3201050,RS Umum Daerah Ciawi,Jl. Raya Puncak 479 Ciawi Bogor,0251-8240797
3201061,RS Umum Tugu Ibu,Jl. Raya Bogor Km 29 Cimanggis - Depok,021 8710870
3201072, RS Umum Puri Cinere,"Jl. Maribaya No.1 Puri Cinere,Depok",021-7545488
3201115,RS Umum Bina Husada,Jl. Mayor Oking No.101 Km 01 Cibinong - Bogor,021-87911000
3201126, RS Umum Hermina Depok,Jl. Raya Siliwangi No. 50 Pancoran Mas Depok,021-77202525
3201130, RS Ibu dan Anak Citra Insani,Jl. Raya Parung Bogor No.242 Bogor,0251-8611507
3201141,RS Ibu dan Anak Tumbuh Kembang,Jl. Raya Bogor Km.31 No.23 Cimanggis Kota Depok,(021)8701873/74
3201152,RS Umum Mary Cileungsi Hijau,Jl. Raya Narogong Km 21 Cileungsi Bogor,021 - 8249 2222
3201185, RS Umum Meilia,"Jl. Alternatif Cibubur KM. 1, Kel. Harjamukti, Cimanggis, Kota Depok",8444444
3201196,RS Umum Bunda Margonda,Jl. Margonda Raya KM 3 RT.02/03 no.128,78890551
3201207, RS Umum MH. Thamrin,"Jl. Raya Narogong Km.16, Limus Nunggal Cileungsi, Bogor",021-8235052
3201218,RS Umum Islam Bogor,"Jl. Perdana Raya No.22, Tanah Sareal, Bogor Utara Kota Bogor",0251-8316822
3202014,RS Umum Daerah Sekarwangi,Jl. Siliwangi No.49 Cibadak Sukabumi,0266-531261
3202040,RS Umum Daerah Palabuhanratu,Jl. Ahmad Yani No.2 Palabuhanratu,0266-432081
3202051, RS Umum Daerah Jampang Kulon,"Jl. Cibarusah No.1 Jampang Kulon, Kab.Sukabumi",0266-490009
3202062, RS Umum Hermina,"Jl. R.A. Kosasih Cimahpar Sukaraja,Kab. Sukabumi",02666252525
3203015,RS Umum Daerah Sayang,Jl. Rumah Sakit No.1 Cianjur,0263-261026
3203037, RS Umum Daerah Cimacan,"Jl. Raya Cimacan No.17, Cianjur",0263-512465
3204016,RS Umum Daerah Majalaya,Jl. Raya Cipaku No.87 Majalaya Kabupaten Bandung,022-5950035
3277020, RS Umum Daerah Cibabat,Jl. Jend. H. Amir Machmud No. 140 Kel. Cibabat Kec. Cimahi Utara,(022) 6652025
3277031, RS Umum Tk II Dustira,Jl. dr. Dustira No.1 Kel. Baros Kec. Cimahi Tengah,022-6652207
3217042,RS Jiwa Provinsi Jawa Barat,Jl. Kolonel Masturi KM 7 Cisarua - Bandung Barat,022-2700260
3204075,RS Umum Mitra Kasih,Jl. Jend.Amir Machmud No.341 Kel. Cigugur Tengah Kec. Cimahi Tengah Kota Cimahi,022-6654852
3204086,RS Umum Daerah Al Ihsan Provinsi Jawa Barat,Jl. Ki Astramanggala Bale Endah Kab. Bandung,022-5940872
3204090, RS Umum Daerah Soreang,Jl. Alun-Alun Utara No. 1 Soreang,022-5891355
3204101,RS Umum Daerah Cicalengka,"Jl. H. Darham No.35 - Cikopo, Cicalengka Kab. Bandung",0227949734
3205010, RS Umum Daerah dr. Slamet Garut,Jl. Rumah Sakit No.12 Garut,0262-232720
3205021, RS Umum Tk IV Guntur,Jl. Bratayuda 101 Garut,(0262)232325
3206011,RS Umum Daerah dr. Soekardjo,Jl. Rumah Sakit 33 Tasikmalaya,(0265) 331683
3206070,RS Umum Jasa Kartini,Jl. Otto Iskandar Dinata No 15,0265 331641
3278081,RS Umum Prasetya Bunda,"Jl. Ir. H. Juanda No.1, Indihiang Kota Tasikmalaya",0265344477
3207012,RS Umum Daerah Kab. Ciamis,Jl. Rumah Sakit No.76 Ciamis,0265-772118
3207023, RS Umum Daerah Banjar,Jl. Rumah Sakit No. 5 Kota Banjar,0265-741032
3207045,RS Umum Permata Bunda,Jl. Mr. Iwa Kusumasomantri No.1 Ciamis,771650
3208013, RS Umum Daerah 45 Kuningan,Jl. Jendral Sudirman No. 68 Kuningan,0232-871885
3208024,RS Umum Wijaya Kusumah,Jl. RE Martadinata No. 172 Kab. Kuningan,0232-871565
3208035,RS Umum Sekar Kamulyan,Jl. Rumah Sakit No. 28 Kec.  Cigugur Kab. Kuningan,873206
3209014, RS Umum Daerah Waled,"Jl. Prabu Kiansantang No. 4 Waled, Cirebon",0231-661126
3209025,RS Pertamina Cirebon,Jl. Patra Raya Klayan Cirebon,0231-224646
3209036, RS Paru Provinsi Jawa Barat,"Jl. Pangeran Kejaksan PO.BOX 4 Desa Sidawangi, Kecamatan Sumber Kab. Cirebon",0231-8330707
3209040, RS Umum Daerah Arjawinangun,Jl. Palimanan - Jakarta KM. 2 No. 1  Arjawinangun,0231-358335
3209051,RS Umum Mitra Plumbon,Jl. Raya Plumbon Km.11 Cirebon,323100
3210014,RS Umum Daerah Majalengka,Jl. Kesehatan No.77 Majalengka,0233-281043
3210025, RS Umum Daerah Cideres,Jl. Raya Cideres - Kadipaten No. 180 Bojong Cideres Dawuan,"(0233)-662082,"
3210036,RS Bedah Budi Kasih,Jl. Raya Majalengka - Kadipaten Km.7 no 84,0233-8665508
3211015,RS Umum Daerah Sumedang,Jl. P. Geusan Ulun no 41 - Jl. Palasari No. 80 Kabupaten Sumedang,0261-201021
3211026,RS Umum Pakuwon,Jl. Raden Dewi Sartika No. 17 Kel. Regol Wetan Kec. Sumedang Selatan Kab. Sumedang Prov. Jabar,0261 210834
3212016, RS Umum Daerah Kab. Indramayu,Jl. Murah Nara No. 7 Sindang Indramayu,0234-272655
3213021,RS Umum PTPN VIII ,Jl. Otto Iskandardinata No.1 Kab. Subang,0260-420406
3213032,RS Umum TNI AU Lanud Suryadarma,Komplek TNI AU Lanud Suryadarma Kec. Kalijati Kab. Subang,0260460364
3214011,RS Umum Daerah Bayu Asih,Jl. Veteran No. 39 Purwakarta,0264-200100
3215012, RS Umum Daerah Karawang,"Jl. Galuh Mas Raya No.1, Sukaharja, Teluk Jambe, Karawang",0267-640444
3215023, RS Umum Bayukarta,Jl. Kertabumi No.44 Karawang,0267 401818
3215056,RS Umum Karya Husada,Jl. Jend. A.Yani No.98 Cikampek Karawang,0264-316188/89
3215067,RS Umum Proklamasi,"Jl. Raya Proklamasi KM.2 Rengasdengklok, Karawang",0267-482192
3215078,RS Umum Islam Karawang,"Jl. Pangkal Perjuangan KM.2, Karawang",(0267)414522
3215089,RS Umum Saraswati,"Jl. Jend. Ahmad Yani No.27, Cikampek, Kab. Karawang",0264-316101
3215100,RS Umum Delima Asih Sisma Medika,"Jl. Wirasaba No.54, Johar - Karawang",403073
3215112, RS Ibu dan Anak Dr. Djoko Pramono,"Jl. Panatayuda I No.35, Karawang",0267 403009
3215123, RS Umum Citra Sari Husada,"Jl. Raya Kosambi -Telaga Sari Km.3 Klari, Karawang",0267-437507
3215134,RS Umum Izza,"Jl. Raya Ciselang Cikampek Utara, Kotabaru Kab.Karawang",0264-8386830-32
3215145,RS Umum Mandaya,Jl. Arteri Tol Karawang  Barat Teluk jambe Karawang,0267-8643000
3275013,RS Umum Daerah dr. Chasbullah Abdulmadjid,Jl. Pramuka No. 55 Bekasi,021-8841005
3275024, RS Umum Mekar Sari  Bekasi,Jl. Mekar Sari No. 1 Bekasi,021-8813787
3275050,RS Umum Budi Lestari,Jl. KH. Noer Ali No. 2 Kayu Ringin Bekasi Selatan - Bekasi,8842336
3275061,RS Helsa,"Jl. Raya Hankam No. 17 Pondok Melati, Kota Bekasi",8462565/64
3216072,RS Umum Bhakti Husada,Jl. R. E. Martadinata (By Pass) Cikarang - Bekasi,021 890 0530-31
3275083, RS Seto Hasbadi,Jl. Raya Seroja No. 19 Harapan Jaya Bekasi Utara,021 -8866141/42
3275094, RS Umum Mitra Keluarga Bekasi Barat,Jl. Jend. A. Yani Bekasi,021-8853333
3216104,RS Umum Karya Medika,Jl. Imam Bonjol No. 9B,0218900190/191
3275115, RS Umum Hermina Bekasi,Jl. Kemakmuran No.39 Margajaya Bekasi,021-8842121
3216126,RS Umum Annisa,Jl. Cikarang Baru No.31 Cikarang Utara Bekasi,021-8904165
3275130,RS Umum Bhakti Kartini,Jl. R.A. Kartini No.11 Bekasi,8801954
3216152,RS Umum Siloam,Jl. MH Thamrin Kav.105 Bekasi,021-296 36 900
3216163,RS Umum Sentra Medika,Jl. Raya Industri Pasirgombong Cikarang,021-8904160
3216174,RS Umum Rawa Lumbu,Jl. Dasa Darma 20-23 Bekasi,0218242251
3216185,RS Umum Hosana Medica,"Jl. Ruko Thamrin Lippo RT.08/04 Blok C3/3A,D2,Cikarang",021-8972472
3275196,RS Umum Bella,"Jl. Ir. H .Juanda No. 141, Bekasi",021-8801778
3275207,RS Umum Graha Juanda,"Jl. IR. H. Juanda No. 326, Bekasi Timur",021-8811832
3216218,RS Umum Ananda,"Jl. Sultan Agung No. 173, Kec. Medan Satria - Kota Bekasi.",021-8854338
3275229,RS Umum Anna,"Jl. Raya Pekayon Jaya No.36, Kel.Jaka Setia, Bekasi",021-82432211
3216252,RS Umum Daerah Kab.Bekasi,"Jl. Teuku Umar Cibitung,Bekasi",021-88374444
3275263,RS Umum Citra Harapan,"Jl.Raya Harapan Indah Kawasan Sentra Niaga No. 3-5 Harapan Indah Pejuang, Medan Satria Kota Bekasi",88870606
3275274,RS Umum Jati Sampurna,"Jl. Studio ANTV Rt.03/07 Kel.Jati Raden, Bekasi",(021) 8451457
3216285,RS Umum St Elisabeth,"Jl. Raya Narogong 202 KM.5,Kemang Pratama,Kel. BojongRawa Lumbu, Kec. Rawa Lumbu, Kota Bekasi.",82430101
